Object,ExpTime,Filter,Comments,Method,Filenums
flat,45.0,J,10K counts. Red lamp.,saturated,"range(598, 608)"
flat,15.0,H,12K counts. Red lamp.,saturated,"range(608, 618)"
flat,9.0,Ks,10K counts. Red lamp.,saturated,"range(618, 628)"
flat,1.5,BrG-2.16,9K counts. Superblue 100.,saturated,"range(628, 638)"
flat,1.5,J+CH4-1.2,11K counts. Superblue 100.,saturated,"range(638, 648)"
TIC0164173105,1.5,Ks,TOI 1417,saturated,"range(740, 745)"
TIC0197650870,15.0,Ks,TOI 1481,saturated,"range(746, 750)"
TIC0064836837,4.5,Ks,TOI 1506,saturated,"range(751, 756)"
TIC0428065977,9.0,Ks,TOI 1503,saturated,"range(757, 762)"
TIC0346418409,9.0,Ks,TOI 1423,saturated,"range(766, 769)"
TIC0418959198,9.0,Ks,TOI 1424,saturated,"range(769, 774)"
TIC0014336130,1.5,Ks,TOI 1716 Good image quality on the first shot; smeared on dither. Going to stop and start,saturated,"range(784, 786)"
TIC0014336130,1.5,Ks,TOI 1716 Fixed issue! real-time code for AO had confusion.couldn't concentrate into point source. drove source out of system. restarted real-time software,saturated,"range(786, 791)"
TIC0252616865,4.5,Ks,TOI 1482,saturated,"range(792, 796)"
TIC0252616865,9.0,J,TOI 1482. bumping up exposure time; counts were low on the last few dithers of previous script.,saturated,"range(801, 805)"
TIC0333473672,9.0,Ks,TOI 1422,saturated,"range(805, 810)"
TIC0345143460,9.0,Ks,TOI 1533. Might be burning out the core; aborted script.,saturated,"range(810, 814)"
TIC0028900646,4.5,Ks,TOI 1685.01,saturated,"range(820, 825)"
TIC0353475866,4.5,Ks,TOI 1693.01,saturated,"range(825, 830)"
TIC0347013211,9.0,Ks,TOI 2045.01; wrong object name in header,saturated,"range(831, 835)"
TIC0407059875,4.5,Ks,TOI 2029.01,saturated,"range(837, 841)"
TIC0445254275,9.0,Ks,TOI 2029.01,saturated,"range(842, 846)"
TIC0283474780,9.0,BrG-2.16,TOI 1490. ,saturated,"range(848, 853)"
TIC0285543785,9.0,Ks,TOI 1528.01.,saturated,"range(857, 861)"
TIC0285543785,15.0,J,TOI 1528.01.,saturated,"range(862, 867)"
TIC0285542903,9.0,Ks,TOI 2060.01,saturated,"range(867, 872)"
TIC0312678993,4.5,BrG-2.16,TOI 1531.01,saturated,"range(875, 879)"
TIC0312678993,4.5,J+CH4-1.2,TOI 1531.01,saturated,"range(879, 884)"
TIC0053709089,4.5,Ks,TOI 2035.01,saturated,"range(884, 889)"
TIC0053709089,1.5,J,TOI 2035.01,saturated,"range(890, 894)"
TIC0348673213,45.0,Ks,,saturated,"range(899, 903)"
TIC0348673213,60.0,J,,saturated,"range(904, 908)"
TIC0220068921,15.0,Ks,"TOI 2369.01; looking a little astygmatic, need to undo previous correction",saturated,"range(908, 910)"
TIC0220068921,15.0,Ks,,saturated,"range(910, 915)"
TIC0039218269,45.0,Ks,TOI 2366.01,saturated,"range(916, 921)"
TIC0353367071,4.5,Ks,TOI 1663,saturated,"range(922, 927)"
TIC0468828873,4.5,Ks,TOI 1672,saturated,"range(927, 932)"
TIC0190223929,7.5,Ks,TOI 1698,saturated,"range(932, 937)"
TIC0190223929,7.5,Ks,TOI 1698,saturated,"range(937, 941)"
TIC0009348006,7.5,Ks,TOI 1775,saturated,"range(941, 946)"
TIC0029191624,1.5,Ks,TOI 1777,saturated,"range(946, 951)"
TIC0372730331,7.5,Ks,TOI 1787,saturated,"range(951, 956)"
TIC0009392421,7.5,Ks,TOI 1822,saturated,"range(956, 961)"
TIC0224298134,7.5,Ks,TOI 2079,saturated,"range(961, 966)"
TIC0417931300,4.5,Ks,TOI 2068,saturated,"range(971, 976)"
TIC0285094173,4.5,Ks,TOI 1817,saturated,"range(976, 981)"
TIC0347332255,4.5,BrG-2.16,TOI 1835,saturated,"range(983, 988)"
TIC0015863518,4.5,Ks,TOI 1713,saturated,"range(988, 993)"
TIC0035582553,4.5,Ks,TOI 649,saturated,"range(993, 998)"
TIC0035582553,7.5,J,TOI 649,saturated,"range(999, 1004)"
TIC0149833117,1.5,Ks,TOI 1717,saturated,"range(1004, 1009)"
TIC0014336130,1.5,Ks,TOI 1716,saturated,"range(1009, 1014)"
TIC0318022259,1.5,Ks,TOI 1730,saturated,"range(1015, 1020)"
TIC0470987100,7.5,Ks,TOI 1732,saturated,"range(1020, 1025)"
TIC0007561203,7.5,Ks,TOI 991,saturated,"range(1025, 1030)"
TIC0093963408,7.5,Ks,TOI 994,saturated,"range(1030, 1035)"
TIC0093963408,7.5,J,TOI 994,saturated,"range(1035, 1040)"
TIC0333821572,7.5,J,TOI 974,saturated,"range(1040, 1042)"
TIC0333821572,7.5,Ks,TOI 974,saturated,"range(1042, 1047)"
TIC0071431780,1.5,Ks,TOI 1723,saturated,"range(1047, 1052)"
TIC0180695581,1.5,Ks,TOI 1807. Astygmatism mode seemingly present,saturated,"range(1052, 1058)"
TIC0180695581,1.5,Ks,TOI 1807,saturated,"range(1058, 1062)"
TIC0202426247,4.5,BrG-2.16,TOI 1860,saturated,"range(1064, 1068)"
TIC0390651552,4.5,BrG-2.16,TOI 1827,saturated,"range(1071, 1075)"
TIC0424733642,45.0,Ks,TOI 1858,saturated,"range(1076, 1081)"
TIC0027194429,4.5,BrG-2.16,TOI 1831,saturated,"range(1083, 1087)"
TIC0404505029,1.5,Ks,TOI 1842,saturated,"range(1087, 1092)"
TIC0027491137,15.0,BrG-2.16,TOI 2076,saturated,"range(1094, 1099)"
TIC0262880065,15.0,Ks,TOI 2256,saturated,"range(1099, 1104)"
TIC0262880065,15.0,J,TOI 2256,saturated,"range(1104, 1109)"
dark,1.5,,,saturated,"range(648, 658)"
dark,9.0,,,saturated,"range(658, 668)"
dark,15.0,,,saturated,"range(668, 678)"
dark,45.0,,,saturated,"range(678, 688)"
dark,1.5,,,saturated,"range(1109, 1139)"
dark,4.5,,,saturated,"range(1139, 1169)"
dark,7.5,,,saturated,"range(1169, 1189)"
dark,9.0,,,saturated,"range(1189, 1209)"
dark,15.0,,,saturated,"range(1209, 1229)"
dark,45.0,,,saturated,"range(1229, 1239)"
dark,60.0,,,saturated,"range(1239, 1249)"
