Object,ExpTime,Filter,Comments,Method,Filenums
flat,4.5,BrG-2.16,,,"range(40, 49)"
flat,1.5,J+Ch4-1.2,,,"range(49, 60)"
flat,4.5,BrG-2.16,,,"range(60, 66)"
flat,1.5,J+Ch4-1.2,,,"range(66, 72)"
flat,1.5,Ks,,,"range(72, 83)"
flat,1.5,J,,,"range(83, 94)"
flat,1.5,Ks,,,"range(94, 105)"
flat,1.5,J,,,"range(105, 115)"
TIC0263179590,60.0,Ks,"Bright companion roughly 10"" away in SE; fainter companion roughly 3"" away to NW",saturated,"range(200, 204)"
TIC0263179590,60.0,J,,saturated,"range(204, 205)"
TIC0263179590,60.0,J,,saturated,"range(205, 209)"
TIC0033091590,60.0,J,,saturated,"range(209, 210)"
TIC0033091590,60.0,J,about 5000 counts,saturated,"range(210, 214)"
TIC0033091590,60.0,Ks,counts decreasing,saturated,"range(214, 215)"
TIC0033091590,60.0,Ks,,saturated,"range(215, 219)"
TIC0257241363,9.0,BrG-2.16,,saturated,"range(226, 230)"
TIC0257241363,9.0,J+Ch4-1.2,,saturated,"range(230, 231)"
TIC0257241363,9.0,J+Ch4-1.2,,saturated,"range(231, 235)"
TIC0081212286,30.0,Ks,,saturated,"range(236, 240)"
TIC0081212286,30.0,J,,saturated,"range(240, 241)"
TIC0081212286,30.0,J,,saturated,"range(241, 245)"
TIC0085293053,3.0,Ks,,saturated,"range(247, 248)"
TIC0085293053,3.0,Ks,,saturated,"range(248, 252)"
TIC0085293053,3.0,J,,saturated,"range(252, 253)"
TIC0085293053,3.0,J,,saturated,"range(253, 257)"
TIC0368435330,1.5,Ks,,saturated,"range(258, 263)"
TIC0368435330,1.5,J,,saturated,"range(263, 268)"
TIC0021535395,6.0,BrG-2.16,,saturated,"range(270, 275)"
TIC0021535395,6.0,J+Ch4-1.2,,saturated,"range(277, 281)"
TIC0008967242,1.5,Ks,,saturated,"range(281, 282)"
TIC0008967242,1.5,Ks,,saturated,"range(282, 286)"
TIC0008967242,1.5,J,,saturated,"range(286, 287)"
TIC0008967242,1.5,J,,saturated,"range(287, 291)"
TIC0144124187,60.0,Ks,,saturated,"range(293, 297)"
TIC0144124187,60.0,Ks,,saturated,"range(297, 298)"
TIC0144124187,90.0,J,,saturated,"range(299, 303)"
TIC0144297844,60.0,Ks,,saturated,"range(304, 308)"
TIC0144297844,90.0,J,,saturated,"range(309, 313)"
TIC0349088467,6.0,Ks,,saturated,"range(314, 318)"
TIC0349088467,9.0,J,,saturated,"range(319, 323)"
TIC0219766989,90.0,Ks,,saturated,"range(325, 329)"
TIC0219766989,120.0,J,,saturated,"range(330, 334)"
TIC0290036495,90.0,Ks,,saturated,"range(335, 339)"
TIC0138126035,6.0,Ks,,saturated,"range(341, 345)"
TIC0138126035,9.0,J,,saturated,"range(346, 350)"
TIC0219824469,9.0,Ks,,saturated wide,"range(351, 355)"
TIC0219824469,15.0,J,,saturated wide,"range(356, 360)"
TIC0328934463,15.0,Ks,,saturated,"range(361, 365)"
TIC0328934463,60.0,J,,saturated,"range(366, 370)"
TIC0154089169,9.0,Ks,,saturated,"range(371, 375)"
TIC0154089169,9.0,Ks,,saturated,"range(375, 376)"
TIC0154089169,30.0,J,,saturated,"range(377, 381)"
TIC0393965778,15.0,Ks,"Faint companion roughly 3"" away to W",saturated,"range(381, 382)"
TIC0393965778,15.0,Ks,,saturated,"range(382, 386)"
TIC0393965778,15.0,J,,saturated,"range(386, 387)"
TIC0393965778,15.0,J,,saturated,"range(387, 391)"
TIC0298164705,15.0,Ks,,saturated,"range(391, 392)"
TIC0298164705,15.0,Ks,,saturated,"range(392, 396)"
TIC0298164705,15.0,J,,saturated,"range(396, 397)"
TIC0298164705,15.0,J,,saturated,"range(397, 401)"
TIC0068035559,9.0,Ks,,saturated,"range(402, 406)"
TIC0068035559,9.0,J,,saturated,"range(406, 407)"
TIC0068035559,9.0,J,,saturated,"range(407, 411)"
TIC0202504234,15.0,Ks,,saturated,"range(412, 416)"
TIC0202504234,15.0,J,,saturated,"range(416, 417)"
TIC0202504234,15.0,J,,saturated,"range(417, 421)"
