Object,ExpTime,Filter,Comments,Method,Filenums
flat,4.5,J,,saturated,"range(154, 164)"
flat,4.5,H,,saturated,"range(166, 176)"
flat,15.0,Ks,,saturated,"range(178, 188)"
flat,30.0,J+Ch4-1.2,,saturated,"range(191, 196)"
flat,120.0,BrG-2.16,,saturated,"range(199, 204)"
T423670610,30.0,Ks,,saturated,"range(440, 445)"
T423670610,30.0,J,,saturated,"range(445, 450)"
T55488511,30.0,Ks,,saturated,"range(450, 455)"
T55488511,30.0,J,,saturated,"range(455, 460)"
T434234955,15.0,Ks,Companion 2 arcseconds away with 1/4 counts at center,saturated,"range(460, 465)"
T434234955,15.0,J,Companion 2 arcseconds away with 1/4 counts at center,saturated,"range(466, 471)"
T245947683,4.5,Ks,,saturated,"range(472, 477)"
T245947683,9.0,J,,saturated,"range(478, 483)"
T50618703,4.5,Ks,,saturated,"range(485, 490)"
T50618703,4.5,J,,saturated,"range(490, 495)"
T399871011,15.0,Ks,,saturated,"range(496, 500)"
T399871011,15.0,J,,saturated,"range(500, 505)"
T408137826,15.0,Ks,,saturated,"range(505, 510)"
T408137826,15.0,J,,saturated,"range(510, 515)"
T262330063,15.0,Ks,Companion 2 arcseconds away with 1/4 counts at center,saturated,"range(515, 520)"
T262330063,15.0,J,Companion 2 arcseconds away with 1/4 counts at center,saturated,"range(526, 530)"
T365690646,9.0,Ks,,saturated,"range(541, 546)"
T365690646,9.0,J,,saturated,"range(546, 551)"
T92013169,4.5,Ks,,saturated,"range(551, 556)"
T92013169,4.5,J,,saturated,"range(556, 561)"
T167031605,4.5,Ks,,saturated,"range(561, 566)"
T167031605,4.5,J,,saturated,"range(566, 571)"
T438295981,4.5,Ks,,saturated,"range(572, 577)"
T438295981,4.5,J,,saturated,"range(577, 582)"
T268371979,4.5,Ks,,saturated,"range(583, 587)"
T268371979,4.5,J,,saturated,"range(587, 592)"
T317951248,9.0,Ks,,saturated,"range(593, 597)"
T317951248,4.5,J,,saturated,"range(598, 602)"
T440801822,4.5,Ks,Possible sub-arcsecond companion with about 2/3 counts at center,saturated,"range(602, 607)"
T440801822,4.5,J,Possible sub-arcsecond companion with about 2/3 counts at center,saturated,"range(607, 612)"
dark,45.0,,,saturated,"range(135, 141)"
dark,60.0,,,saturated,"range(141, 146)"
dark,120.0,,,saturated,"range(146, 151)"
dark,4.5,,,saturated,"range(612, 642)"
dark,6.0,,,saturated,"range(642, 647)"
dark,7.5,,,saturated,"range(647, 652)"
dark,9.0,,,saturated,"range(652, 662)"
dark,15.0,,,saturated,"range(662, 672)"
dark,30.0,,,saturated,"range(672, 682)"
dark,45.0,,,saturated,"range(682, 687)"
dark,60.0,,,saturated,"range(687, 692)"
dark,120.0,,,saturated,"range(692, 702)"
dark,180.0,,,saturated,"range(702, 707)"
dark,240.0,,,saturated,"range(707, 710)"
