Object,ExpTime,Filter,Comments,Method,Filenums
flat,45.0,J,10K counts. Red lamp.,saturated,"range(17, 27)"
flat,15.0,H,12K counts. Red lamp.,saturated,"range(27, 37)"
flat,9.0,Ks,11K counts. Red lamp.,saturated,"range(37, 47)"
flat,1.5,BrG-2.16,9K counts. Superblue 100.,saturated,"range(47, 57)"
flat,1.5,J+CH4-1.2,12K counts. Superblue 100.,saturated,"range(57, 67)"
265460043,15.0,Ks,TOI 2272. AO system caused low counts in first dither position. Long time to move between dither positions. Extended shape not physical? Had to reopen loops; dithered to some weird offset psition. script aborted.,saturated,"range(168, 172)"
265460043,15.0,Ks,TOI 2272.,saturated,"range(172, 176)"
265460043,45.0,J,TOI 2272.,saturated,"range(177, 181)"
431514478,3.0,Ks,TOI 1475.01,saturated,"range(185, 189)"
470852531,15.0,Ks,,saturated,"range(192, 197)"
327579226,15.0,Ks,TOI 1532.01,saturated,"range(198, 202)"
444415148,4.5,Ks,TOI 1585.02,saturated,"range(203, 207)"
320506985,15.0,Ks,TOI 1557.01,saturated,"range(208, 212)"
320506985,60.0,J,TOI 1557. counts are high. saturating?,saturated,"range(213, 217)"
445144327,4.5,Ks,TOI 1586.,saturated,"range(222, 226)"
306955329,15.0,Ks,TOI 1472.,saturated,"range(227, 232)"
67418624,1.5,Ks,TOI 1598.01,saturated,"range(232, 237)"
67418624,1.5,J,TOI 1598.01,saturated,"range(237, 242)"
327011842,4.5,Ks,TOI 1576.,saturated,"range(243, 248)"
339538183,15.0,Ks,TOI 1662,saturated,"range(250, 255)"
453387619,15.0,Ks,TOI 1703,saturated,"range(256, 261)"
241173474,15.0,Ks,TOI 1708,saturated,"range(261, 266)"
95129101,15.0,Ks,TOI 1704,saturated,"range(266, 271)"
101037590,4.5,Ks,TOI 1605,saturated,"range(272, 277)"
431899140,15.0,Ks,TOI 1596,saturated,"range(277, 282)"
201186294,7.5,Ks,TOI 1634;,saturated,"range(286, 291)"
201186294,15.0,J,TOI 1634;,saturated,"range(292, 296)"
201154493,7.5,Ks,TOI 1594,saturated,"range(297, 302)"
286561122,4.5,Ks,TOI 1658,saturated,"range(304, 309)"
470381900,150.0,Ks,TOI 1696.01,saturated,"range(310, 315)"
436102447,15.0,Ks,TOI 2359,saturated,"range(315, 320)"
TIC0274215536,7.5,Ks,TOI 1701,saturated,"range(321, 325)"
TIC0318022259,7.5,Ks,TOI 1730,saturated,"range(326, 330)"
TIC0085242435,4.5,Ks,TOI 1722,saturated,"range(330, 335)"
TIC0087090944,7.5,Ks,TOI 1677,saturated,"range(336, 340)"
TIC0137906197,7.5,Ks,TOI 1768,saturated,"range(345, 349)"
TIC0137906197,7.5,J,TOI 1768,saturated,"range(349, 354)"
TIC0287225295,1.5,Ks,TOI 1769,saturated,"range(356, 360)"
TIC0142387023,1.5,Ks,TOI 1824,saturated,"range(360, 365)"
TIC0286916251,4.5,Ks,TOI 1794,saturated,"range(366, 370)"
TIC0393911494,7.5,Ks,TOI 2106,saturated,"range(371, 375)"
TIC0330799746,30.0,Ks,TOI 1818,saturated,"range(376, 380)"
TIC0457138169,1.5,Ks,TOI 1770,saturated,"range(380, 385)"
TIC0148679712,7.5,Ks,TOI 1804,saturated,"range(386, 390)"
TIC0241196395,7.5,Ks,TOI 1784,saturated,"range(390, 395)"
TIC0166648874,60.0,Ks,TOI 1806,saturated,"range(396, 400)"
TIC0004897275,7.5,BrG-2.16,TOI 1774,saturated,"range(402, 406)"
TIC0039699648,1.5,Ks,TOI 1778,saturated,"range(406, 411)"
TIC0393831507,60.0,Ks,TOI 2065,saturated,"range(416, 420)"
TIC0356710041,7.5,Ks,TOI 2065,saturated,"range(421, 425)"
TIC0142394656,15.0,Ks,TOI 1268,saturated,"range(426, 430)"
TIC0441642457,7.5,Ks,TOI 2073,saturated,"range(430, 435)"
TIC0023740089,30.0,Ks,TOI 1849,saturated,"range(439, 443)"
TIC0144441148,1.5,Ks,TOI 1837.01,saturated,"range(444, 449)"
TIC0144441148,1.5,Ks,TOI 1837.01,saturated,"range(449, 453)"
TIC0158075010,1.5,Ks,TOI 2074,saturated,"range(454, 458)"
dark,1.5,,,saturated,"range(67, 77)"
dark,9.0,,,saturated,"range(77, 87)"
dark,15.0,,,saturated,"range(87, 97)"
dark,45.0,,,saturated,"range(97, 107)"
dark,1.5,,,saturated,"range(458, 488)"
dark,3.0,,,saturated,"range(488, 498)"
dark,4.5,,,saturated,"range(498, 508)"
dark,7.5,,,saturated,"range(508, 518)"
dark,9.0,,,saturated,"range(518, 528)"
dark,15.0,,,saturated,"range(528, 543)"
dark,30.0,,,saturated,"range(543, 553)"
dark,45.0,,,saturated,"range(553, 563)"
dark,60.0,,,saturated,"range(563, 573)"
dark,150.0,,,saturated,"range(573, 583)"
